date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200506,5610202,231468,258985,222262,333523,315380,6971820,0,1218,8009,2,-49,50,2858,1,0.000185117,0.038674033,0.004463972,0.017015018,0.016803116,0.00039652,0.863686841,0
20200507,5725338,241520,268483,248187,361103,317890,7162521,0,1135,8429,4,-83,86,6293,1,0.000370165,0.068144499,0.00978549,0.016865353,0.016646442,0.000394217,0.871322849,0
20200508,6501932,234569,267085,234869,346513,350377,7935345,0,1082,8867,12,-53,65,5475,0,0.001110083,0.046696035,0.008431015,0.016752426,0.016525594,0.000390921,0.876362964,0
20200509,5372729,370746,807532,398437,362474,1145750,8457668,0,1016,9153,18,-66,84,5167,0,0.001663279,0.060998152,0.0078902,0.016654452,0.016423496,0.000387861,0.882656827,0
20200510,5541802,50971,93377,45225,43915,239796,6015086,0,1008,10128,34,-8,42,3856,0,0.003136531,0.007874016,0.005842159,0.016633066,0.016379318,0.000385608,0.883759426,0
20200511,5650625,223243,257333,213763,323169,315491,6983624,0,1021,10922,35,13,22,4606,0,0.003218687,0.012896825,0.006937938,0.016589869,0.016318819,0.000382951,0.882940691,0
20200512,5490764,235688,269749,236242,346276,305892,6884611,0,1008,16330,27,-13,38,12398,2,0.002475021,0.012732615,0.01854622,0.016456001,0.016061331,0.000378916,0.884235552,0
20200513,5542519,231214,264884,234620,344477,306506,6924220,0,1008,19579,26,0,25,15030,1,0.002377469,0,0.02207405,0.016207801,0.015751811,0.000372169,0.884418902,0
20200514,5682959,235721,269103,231909,346254,311856,7077802,0,969,20722,29,-39,67,15564,1,0.002645503,0.038690476,0.02236464,0.015911414,0.015447993,0.000365433,0.888181239,0
20200515,5589231,194362,240988,187782,260700,308853,6781916,0,937,19875,27,-32,59,15263,0,0.002456555,0.033023736,0.021452345,0.01558698,0.015160709,0.000357759,0.891359593,0
20200516,5960211,112913,149644,99505,153969,272173,6748415,0,924,18843,19,-13,30,14398,2,0.001724451,0.013874066,0.019811571,0.015280312,0.014891823,0.000353507,0.892543264,0
20200517,5514738,54934,99977,46111,42893,239058,5997711,0,900,17660,13,-24,37,6508,0,0.001177856,0.025974026,0.008781008,0.015137131,0.014779584,0.00035043,0.894841629,0
20200518,5450373,211971,245800,201067,299619,305875,6714705,0,898,16093,15,-2,16,5558,1,0.001357466,0.002222222,0.00743393,0.015011165,0.014690439,0.000349172,0.895074559,0
20200519,5225871,210382,249730,212156,292235,296554,6486928,0,877,16925,13,-21,34,12363,0,0.001174876,0.023385301,0.016413727,0.014797322,0.014470188,0.000343533,0.897093338,0
20200520,5651566,236233,269889,232967,341707,312909,7045271,0,781,16351,32,-96,128,10859,0,0.002888608,0.109464082,0.014184129,0.014616844,0.014309026,0.000338729,0.906030603,0
20200521,5703158,232069,266457,227584,342082,313057,7084407,0,723,18089,12,-58,69,12251,1,0.001080108,0.074263764,0.015778567,0.014433003,0.014101972,0.000334735,0.911256968,0
20200522,6285805,229152,263350,218018,333555,335455,7665335,0,716,20286,20,-7,27,13734,0,0.001798238,0.009681881,0.017413818,0.014245677,0.013885531,0.000329006,0.912044516,0
20200523,6485570,121533,157804,112858,192008,291571,7361344,0,705,21569,23,-11,32,12002,2,0.002064261,0.015363128,0.014957292,0.014082091,0.013709143,0.000326613,0.913031796,0
20200524,5421758,53544,98163,46523,45933,235149,5901070,0,711,20333,25,6,19,5869,0,0.00223914,0.008510638,0.007206355,0.013988269,0.013641534,0.000324276,0.912689902,0
20200525,5728958,221019,256405,208035,324799,318176,7057392,0,713,19089,16,2,13,6148,1,0.001429848,0.00281294,0.007494919,0.013880012,0.013559412,0.000323074,0.91254685,0
20200526,5588527,236004,271998,239324,345027,308798,6989678,0,681,22044,19,-32,49,13038,2,0.00169552,0.044880785,0.015776157,0.013732046,0.013371452,0.000320438,0.915367483,0
20200527,5619032,231031,267485,232892,343368,310553,7004361,0,701,21061,40,20,20,13401,0,0.003563474,0.029368576,0.015963549,0.013542675,0.013208251,0.000315403,0.913892588,0
20200528,5677719,233151,269266,230360,343225,310355,7064076,0,735,22370,79,34,45,15790,0,0.007012872,0.04850214,0.018513829,0.013404294,0.013059104,0.00030967,0.911495063,0
20200529,6272837,225894,267194,227280,335383,335754,7664342,0,770,24557,58,35,23,16454,0,0.005112835,0.047619048,0.018941688,0.013249466,0.012881869,0.000303914,0.908875636,0
20200530,6537611,121702,160007,120867,196300,292643,7429130,0,774,26298,39,4,35,17781,0,0.003420453,0.005194805,0.020088802,0.013051518,0.012671378,0.000297929,0.90883664,0
20200531,5692442,60282,103213,51002,51625,242509,6201073,0,793,23294,27,19,7,7921,1,0.002359934,0.024547804,0.008772833,0.012921282,0.012590825,0.000296436,0.90730729,0
20200601,5630340,223915,258779,211622,311126,312400,6948182,0,810,24058,35,17,17,10569,1,0.003051971,0.021437579,0.011603804,0.012819098,0.012484385,0.000294121,0.906024515,0
20200602,5437497,232236,272996,237103,334143,302830,6816805,0,823,28922,38,13,24,18460,1,0.003303486,0.016049383,0.020034925,0.012669484,0.012279606,0.000289408,0.905120873,0
20200603,5519345,232053,270762,232802,333554,307194,6895710,0,850,27865,49,27,21,17001,1,0.004245733,0.032806804,0.018089038,0.012475955,0.012112636,0.000285311,0.903106126,0
20200604,5631483,232627,271612,233296,324267,307010,7000295,0,857,28199,39,7,32,17006,0,0.00336497,0.008235294,0.017772864,0.012297245,0.011941166,0.000280328,0.902829134,0
20200605,6452237,230827,272526,224790,329891,339218,7849489,0,889,28766,39,32,7,17102,0,0.003353685,0.037339557,0.017561082,0.012126453,0.011774441,0.00027549,0.900411382,0
20200606,6582135,109957,149696,95273,154629,281171,7372861,0,915,27954,51,26,25,14345,0,0.004370929,0.029246344,0.014475862,0.011990575,0.011657159,0.000271559,0.898626163,0
20200607,5842474,55411,107055,50701,46025,247654,6349320,0,951,26481,57,36,21,7464,0,0.004863896,0.039344262,0.007424612,0.011939717,0.011627528,0.000269558,0.896059783,0
20200608,5749899,224156,262744,218519,328281,316699,7100298,0,978,24374,38,27,11,5445,0,0.003226902,0.028391167,0.005376349,0.011887225,0.011602669,0.000268117,0.894108685,0
20200609,5607542,239284,278914,248241,351758,460094,7185833,0,989,27459,38,11,26,17783,1,0.003216523,0.011247444,0.017464894,0.011751664,0.011440188,0.00026448,0.893435707,0
20200610,5629902,236730,275553,237564,343011,307630,7030390,0,1015,26223,50,26,22,15975,2,0.004218697,0.026289181,0.015419929,0.011603228,0.011313989,0.000262364,0.891530835,0
20200611,5628556,225892,267934,223666,317943,307999,6971990,0,1017,25494,45,2,43,14916,0,0.003780877,0.001970443,0.014179085,0.011472123,0.011197989,0.000258696,0.891771993,0
20200612,6342764,228615,273227,226065,322517,333889,7727077,0,1057,24244,56,40,15,14599,1,0.004687369,0.039331367,0.013683723,0.011353114,0.011098608,0.000256129,0.888861118,0
20200613,6053745,109262,150509,97268,147729,275083,6833596,0,1083,23352,48,26,22,13217,0,0.003999,0.024597919,0.012221136,0.011248404,0.011008455,0.000253036,0.887146295,0
20200614,5353347,50304,102154,44064,38879,231772,5820520,0,1089,21356,33,6,27,5623,0,0.002738362,0.005540166,0.005136548,0.01119956,0.01098219,0.000251743,0.886957961,0
20200615,5822631,224153,265906,209487,311312,318934,7152423,0,1114,20793,37,25,12,5392,0,0.0030619,0.022956841,0.004900361,0.011172191,0.010962098,0.000250516,0.885240492,0
20200616,5653864,238506,280459,239467,341717,310598,7064611,0,1117,22632,34,3,30,14048,1,0.002805049,0.002692998,0.012704855,0.011078855,0.010854937,0.000248266,0.885232415,0
20200617,5691705,234850,277222,238395,337733,313775,7093680,0,1145,21489,43,28,14,13056,1,0.003537639,0.025067144,0.011659568,0.010975998,0.01076779,0.000246287,0.883259551,0
20200618,5540214,220320,266439,220496,311812,304296,6863577,0,1177,21714,59,32,26,12889,1,0.004836859,0.027947598,0.01137777,0.010904824,0.010698151,0.00024439,0.881129151,0
20200619,6426046,229277,274050,224418,324251,336674,7814716,0,1191,21190,49,14,35,12351,0,0.003997716,0.011894647,0.010780196,0.010824428,0.010626365,0.000241783,0.880464814,0
20200620,6795367,123780,167418,114945,179024,296229,7676763,0,1237,21470,67,46,21,12838,0,0.005444499,0.038623006,0.011085753,0.010764457,0.010567076,0.000239132,0.877394326,0
20200621,6041637,57570,111801,52681,50698,253796,6568183,0,1273,20071,48,36,12,5562,0,0.003879415,0.029102668,0.004750188,0.010741167,0.010557918,0.000238002,0.874969809,0
20200622,5863865,226065,267280,221990,330441,318164,7227805,0,1277,19403,17,4,13,5603,0,0.00136865,0.003142184,0.004762581,0.010697855,0.010522255,0.000236873,0.874819103,0
20200623,5792499,247182,286417,253350,362561,315402,7257411,0,1295,22278,46,18,27,13946,1,0.003698344,0.014095536,0.011797988,0.010636141,0.010438022,0.000234947,0.873758411,0
20200624,5332370,208588,259402,214055,298121,293765,6606301,0,1324,20245,51,29,22,12585,0,0.004085229,0.022393822,0.01052247,0.010548221,0.01037153,0.000232501,0.871958516,0
20200625,5441024,205262,252576,204080,274147,299803,6676892,0,1307,18900,28,-17,44,11881,1,0.002233746,0.012839879,0.009830407,0.010455418,0.010293508,0.000231057,0.873517472,0
20200626,6461559,225442,274435,223080,322407,338573,7845496,0,1148,18828,39,-159,198,11837,0,0.003104354,0.12165264,0.009698659,0.010384948,0.010226281,0.000228838,0.886525948,0
20200627,6731809,121291,165112,119200,194610,292934,7624956,0,1054,19866,51,-94,145,11465,0,0.004046977,0.081881533,0.009303628,0.010338145,0.010173021,0.000226728,0.894412392,0
20200628,6005815,56317,105706,49910,48097,251446,6517291,0,1069,19005,62,15,47,7915,0,0.004900024,0.014231499,0.006363666,0.01031484,0.010158225,0.000225295,0.893747542,0
20200629,5684518,213438,260986,207840,301066,311859,6979707,0,1046,18499,42,-23,65,8259,0,0.003303185,0.021515435,0.006598253,0.010275846,0.010124973,0.000223818,0.89590029,0
20200630,5184997,203073,253734,212259,271132,293471,6418666,0,980,20809,42,-66,108,13811,0,0.00329231,0.063097514,0.010961511,0.010215043,0.010048164,0.000221391,0.901398547,0
20200701,5586784,235363,273144,228663,302232,307162,6933348,0,955,19526,51,-25,76,11466,0,0.003984686,0.025510204,0.00900166,0.010152445,0.009998203,0.000219416,0.903735409,0
20200702,5707095,235748,275773,232623,322036,309055,7082330,0,938,19782,54,-17,71,10731,0,0.004202335,0.017801047,0.008349472,0.010111426,0.009957082,0.000217599,0.905455673,0
20200703,6323861,231638,276644,226246,317287,332461,7708137,0,926,21560,63,-12,75,11799,0,0.004882207,0.012793177,0.009104434,0.010081628,0.00991542,0.000215636,0.906840441,0
20200704,6498968,120140,163939,111489,170489,286063,7351088,0,936,22321,63,10,52,11762,1,0.004858487,0.010799136,0.008993998,0.010044696,0.009874781,0.000214471,0.906446662,0
20200705,5786759,54341,107909,48821,43383,244136,6285349,0,976,21649,61,40,21,6532,0,0.004681504,0.042735043,0.004950274,0.010035986,0.00987214,0.000213415,0.903827057,0
20200706,5711866,218196,261100,211947,310716,315199,7029024,0,1005,21292,46,29,16,5741,1,0.003513864,0.029713115,0.004329383,0.010024388,0.009864123,0.000213246,0.901880186,0
20200707,5562218,231951,273691,236979,334017,308451,6947307,0,982,23675,44,-23,66,14398,1,0.003349319,0.022885572,0.010810965,0.009966586,0.009791308,0.000211708,0.903876792,0
20200708,5636506,230166,270987,231668,334553,308682,7012562,0,988,24012,62,6,56,13540,0,0.00470374,0.00610998,0.010057986,0.009914488,0.009739405,0.0002096,0.903873745,0
20200709,5733148,232040,273790,235189,334044,310632,7118843,0,987,23912,50,-1,49,12037,2,0.00377558,0.001012146,0.008852467,0.009862308,0.009690393,0.000209219,0.904160084,0
20200710,5983924,203560,256337,200203,275378,320572,7239974,0,985,23527,45,-2,46,13119,1,0.00338524,0.002026342,0.00956355,0.009797534,0.00963109,0.000207959,0.904558405,0
20200711,6415968,114250,157301,106758,164093,283756,7242126,0,941,22950,35,-44,79,12051,0,0.002624082,0.044670051,0.008701774,0.00973296,0.00957306,0.000206165,0.908098407,0
20200712,5517535,51599,103923,45709,40901,234501,5994168,0,950,21830,44,9,34,5203,1,0.003290212,0.009564293,0.003724567,0.009720252,0.009568917,0.000206113,0.907654468,0
20200713,4996826,180829,232574,171628,222704,280783,6085344,0,986,21845,62,36,26,6168,0,0.004621003,0.037894737,0.004398978,0.009721833,0.009571033,0.00020521,0.905408413,0
20200714,5405802,216274,258938,213180,271040,298461,6663695,0,941,24289,33,-45,78,12304,0,0.002448253,0.045638945,0.0087367,0.009676816,0.009511367,0.000203433,0.908969805,0
20200715,5658247,230407,273566,229813,315388,307621,7015042,0,914,23297,39,-27,66,10700,0,0.002886323,0.02869288,0.007531944,0.00962416,0.009467511,0.000201912,0.911224264,0
20200716,5820603,233000,274319,234438,328731,312932,7204023,0,925,23404,61,11,48,10032,2,0.004501513,0.012035011,0.007008934,0.009599815,0.009443937,0.000201894,0.910667058,0
20200717,6478738,232216,277443,233893,331245,336456,7889991,0,919,23110,60,-6,64,9669,2,0.004407875,0.006486486,0.006708304,0.009574853,0.009422357,0.000201927,0.911351668,0
20200718,6637650,121685,165299,115174,174926,291873,7506607,0,898,22923,39,-21,59,9187,1,0.002852545,0.022850925,0.006331421,0.00953954,0.009389784,0.000201342,0.913062505,0
20200719,5237395,50771,103652,45550,37473,223003,5697844,0,894,21953,34,-4,37,5095,1,0.002479761,0.004454343,0.003489238,0.009523011,0.009380338,0.000201324,0.913495817,0
20200720,5448006,196729,243555,187782,260360,302454,6638886,19,903,21302,26,9,16,4894,1,0.001891597,0.010067114,0.003339933,0.009504511,0.009366797,0.000201334,0.912932975,0
20200721,5701319,230096,271699,230608,322724,311865,7068311,21,877,23864,45,-26,71,12197,0,0.003267737,0.028792913,0.00829619,0.009472577,0.009320084,0.000199678,0.915098437,0.105263158
20200722,5332892,208050,258134,209309,285911,290966,6585262,21,884,21751,63,7,55,9681,1,0.004559931,0.007981756,0.00653067,0.009439442,0.009301836,0.000199052,0.914907414,0
20200723,5174250,199644,250734,196227,253560,282706,6357121,18,883,21418,59,-1,60,8783,0,0.004251027,0.001131222,0.005886449,0.009421158,0.009286713,0.000197887,0.91533936,0.142857143
20200724,5900481,202295,252735,194783,242246,313759,7106299,16,864,20559,41,-19,59,9473,1,0.002941599,0.021517554,0.00631174,0.00938334,0.009255612,0.000197308,0.916875313,0.111111111
20200725,6051677,111056,151706,102134,144301,268268,6829142,15,928,19681,113,64,49,8307,0,0.008083554,0.074074074,0.005500133,0.009401229,0.009279392,0.000196229,0.913000284,0.0625
20200726,5728084,53477,102255,44566,40498,243957,6212837,15,962,19214,58,34,24,4292,0,0.00411581,0.036637931,0.002826224,0.009410047,0.009291325,0.000195676,0.910954064,0
20200727,5646498,206490,253385,197444,273072,304043,6880932,14,971,18770,25,9,15,4048,1,0.001766784,0.009355509,0.002658041,0.009398596,0.009283066,0.000195812,0.910405644,0.066666667
20200728,5419799,214234,257498,216007,277571,297140,6682249,12,896,20444,28,-75,102,10730,1,0.001975309,0.077239959,0.00702697,0.009360953,0.009236498,0.000195096,0.915792438,0.142857143
20200729,5423653,206473,256575,208991,273912,293632,6663236,12,882,19326,48,-14,62,9603,0,0.003379568,0.015625,0.006245025,0.009326687,0.009210196,0.000193885,0.917058452,0
20200730,5676820,206741,256320,208323,267173,302519,6917896,13,837,19018,18,-45,63,8908,0,0.001263069,0.051020408,0.005757099,0.00928248,0.009169042,0.000192775,0.920316771,0.083333333
20200731,6694856,203125,253257,200543,267938,336674,7956393,12,821,18330,36,-16,51,7581,1,0.002522952,0.01911589,0.004871435,0.009256108,0.009147613,0.00019248,0.921565886,0.076923077
20200801,6767220,107035,147935,94279,123591,274004,7514064,13,802,18278,31,-19,50,8034,0,0.002167074,0.023142509,0.005137499,0.009227886,0.009120579,0.000191497,0.923060826,0.083333333
20200802,6049353,53199,104678,46386,34457,233737,6521810,13,806,17768,30,4,26,4416,0,0.002092634,0.004987531,0.002809464,0.009217968,0.00911406,0.00019096,0.92294306,0
20200803,6031314,165700,204419,152128,197444,289849,7040854,13,808,17401,23,2,21,3511,0,0.001601002,0.00248139,0.002227444,0.009209809,0.009108363,0.000190536,0.922927236,0
20200804,5940112,178564,215475,172620,212219,292269,7011259,13,770,18724,34,-38,72,10023,0,0.002362916,0.047029703,0.006344647,0.009180449,0.009072324,0.000189334,0.925743604,0
20200805,5842332,186188,221214,175719,226371,291017,6942841,14,748,18490,33,-22,54,8407,1,0.002288012,0.028571429,0.005288153,0.009151122,0.009045249,0.000188964,0.9273658,0.076923077
20200806,5478908,189615,223870,176156,221423,280573,6570545,18,696,18031,43,-52,95,8300,0,0.002974543,0.069518717,0.005193385,0.009127732,0.009025283,0.000187988,0.931167667,0.285714286
20200807,6081859,198477,235658,178763,229140,304500,7228397,18,673,17068,20,-23,42,7165,1,0.001379405,0.033045977,0.004460042,0.00909379,0.008997603,0.000187773,0.93277774,0
20200808,5255917,106253,143659,88230,109749,226109,5929917,16,629,16105,43,-44,86,6862,1,0.002961636,0.0653789,0.004252466,0.009076239,0.008986038,0.000187595,0.935929131,0.111111111
20200809,4775007,49790,100064,44001,35212,195897,5199971,16,651,16803,36,22,13,4136,1,0.002472188,0.034976153,0.002552277,0.009079222,0.00898532,0.000187733,0.934511577,0
20200810,5291314,198895,243299,181028,210855,281017,6406408,16,663,16396,28,12,16,3653,0,0.001918071,0.01843318,0.002248484,0.009073724,0.008982358,0.000187312,0.933816491,0
20200811,5440994,213683,259840,212233,256378,290050,6673178,15,626,17489,34,-37,71,9541,0,0.002324627,0.055806938,0.005859475,0.0090474,0.008950791,0.00018622,0.936493861,0.0625
